,J,Q,Delta1,Delta2,Delta3,Delta4,lambda_2,lambda_3
0,-0.1,0.5,-0.01,-2.0,-3.0,3.0,(17.19867543859394+0j),(-12.998675438593942+0j)
1,-0.1,0.5,-0.01,-2.0,-3.0,4.5,(15.031357237351383+0j),(-10.83135723735138+0j)
2,-0.1,0.5,-0.01,-2.0,-3.0,6.0,(12.418430113151903+0j),(-8.218430113151904+0j)
3,-0.1,0.5,-0.01,-2.0,-1.5,3.0,(13.798076765007142+0j),(-9.598076765007143+0j)
4,-0.1,0.5,-0.01,-2.0,-1.5,4.5,(10.823244809129225+0j),(-6.623244809129225+0j)
5,-0.1,0.5,-0.01,-2.0,-1.5,6.0,(6.017269457160177+0j),(-1.817269457160176+0j)
6,-0.1,0.5,-0.01,-2.0,0.0,3.0,(8.861656601750786+0j),(-4.661656601750785+0j)
7,-0.1,0.5,-0.01,-2.0,0.0,4.5,(2.1000000000000005+3.8768543949960277j),(2.1000000000000005-3.8768543949960277j)
8,-0.1,0.5,-0.01,-2.0,0.0,6.0,(2.1000000000000005+8.705170877128147j),(2.1000000000000005-8.705170877128147j)
9,-0.1,0.5,-0.01,-1.3333333333333335,-3.0,3.0,(15.289768762188366+0j),(-11.089768762188367+0j)
10,-0.1,0.5,-0.01,-1.3333333333333335,-3.0,4.5,(12.740488710580923+0j),(-8.54048871058092+0j)
11,-0.1,0.5,-0.01,-1.3333333333333335,-3.0,6.0,(9.343617880589784+0j),(-5.143617880589783+0j)
12,-0.1,0.5,-0.01,-1.3333333333333335,-1.5,3.0,(11.20192287376684+0j),(-7.00192287376684+0j)
13,-0.1,0.5,-0.01,-1.3333333333333335,-1.5,4.5,(6.800531884797723+0j),(-2.6005318847977223+0j)
14,-0.1,0.5,-0.01,-1.3333333333333335,-1.5,6.0,(2.1000000000000005+6.217314532818809j),(2.1000000000000005-6.217314532818809j)
15,-0.1,0.5,-0.01,-1.3333333333333335,0.0,3.0,(2.1000000000000005+2.8774989139876292j),(2.1000000000000005-2.8774989139876292j)
16,-0.1,0.5,-0.01,-1.3333333333333335,0.0,4.5,(2.1000000000000005+8.308429454475737j),(2.1000000000000005-8.308429454475737j)
17,-0.1,0.5,-0.01,-1.3333333333333335,0.0,6.0,(2.1000000000000005+11.392102527628515j),(2.1000000000000005-11.392102527628515j)
18,-0.1,0.5,-0.01,-0.6666666666666667,-3.0,3.0,(13.053081758117212+0j),(-8.85308175811721+0j)
19,-0.1,0.5,-0.01,-0.6666666666666667,-3.0,4.5,(9.795453203028398+0j),(-5.595453203028397+0j)
